company_code,name,business_description,listing_status,duns_company_code,primary_industry_code,primary_industry_scheme,primary_industry_description,city,state,zipcode
CSBRI,"Citizens Financial Group, Inc. (Rhode Island)","Citizens Financial Group, Inc. engages in the provision of commercial banking services. It operates through the Consumer Banking and Commercial Banking segments. The Consumer Banking segment includes deposit products, mortgage and home equity lending, student loans, auto financing, credit cards, business loans, and wealth management and investment services. The Commercial Banking segment offers lending and leasing, trade financing, deposit and treasury management, foreign exchange and interest rate risk management, corporate finance and debt, and equity capital markets. The company was founded in 1828 and is headquartered in Providence, RI.",listed,131758724,6021,SIC,National Commercial Banks,Providence,Rhode Island,02903
URENT,"United Rentals, Inc.","United Rentals, Inc. engages in the equipment rental business. It operates through the General Rentals and Specialty segments. The General Rentals segment includes the rental of construction, aerial and industrial equipment, general tools and light equipment, and related services and activities. The Specialty segment focuses on the rental of specialty construction products such as trench safety equipment, power and HVAC equipment, fluid solutions equipment, mobile storage equipment, and modular office space. The company was founded by Bradley S. Jacobs in 1997 and is headquartered in Stamford, CT.",listed,176333961,7353,SIC,Heavy Construction Equipment Rental and Leasing,Stamford,Connecticut,06902
AUDAT,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. engages in the provision of business outsourcing solutions in cloud-based human capital management. It operates through the following business segments: Employer Services, Professional Employer Organization Services, and Other. The Employer Services segment provides clients from single-employee small businesses to large enterprises offering human resources outsourcing and technology-based human capital management solutions and cloud-based platforms. The Professional Employer Organization Services segment offers small and mid-sized businesses a human resource outsourcing solution through a co-employment mode. The Other segment includes the certain corporate overhead charges and expenses that have not been allocated to the reportable segments. The company was founded by Henry Taub in 1949 and is headquartered in Roseland, NJ.",listed,001915172,7372,SIC,Prepackaged Software,Roseland,New Jersey,07068
METTOL,"Mettler-Toledo International, Inc.","Mettler-Toledo International, Inc. engages in the provision of precision instruments and services. The firm manufactures weighing instruments for use in laboratory, industrial, packaging, logistics, and food retailing applications. It also manufactures several related analytical instruments and provides automated chemistry solutions used in drug and chemical compound discovery and development, metal detection and other end-of-line inspection systems used in production and packaging and provides solutions for use in certain process analytics applications. It operates through the following segments: U.S. Operations, Swiss Operations, Western European Operations, Chinese Operations, and Other. The U.S. Operations segment represents certain of the company's marketing and producing organizations located in the United States. The Swiss Operations segment is involved in the marketing and producing organizations located in Switzerland, as well as extensive research and development operations that are responsible for the development, production, and marketing of precision instruments, including weighing, analytical, and measurement technologies for use in a variety of industrial, and laboratory applications. The Western European Operations segment includes marketing and producing organizations in Western Europe, excluding operations located in Switzerland. The Chinese Operations segment focuses on marketing and producing organizations located in China. The Other segment refers to the operations that exist outside these reportable segments. The company was founded in 1991 and is headquartered in Columbus, OH.",listed,090696071,3826,SIC,Laboratory Analytical Instruments,Columbus,Ohio,43240
ENGAS,Atmos Energy Corp.,"Atmos Energy Corp. engages in the provision of natural gas services. It operates through the Distribution, and Pipeline and Storage segments. The Distribution segment is involved in regulated natural gas distribution and related sales operations. The Pipeline and Storage segment includes pipeline and storage operations of the Atmos Pipeline-Texas division and natural gas transmission operations. The company was founded in 1983 and is headquartered in Dallas, TX.",listed,108203241,4924,SIC,Natural Gas Distribution,Dallas,Texas,75240
MSCINY,"MSCI, Inc.","MSCI, Inc. engages in the provision of investment decision support tools including indices, portfolio risk and performance analytics and corporate governance products and services. It operates through the following segments: Index, Analytics, ESG and Climate, and All Other-Private Assets. The Index segment focuses on the investment process, including developing indexed financial products. The Analytics segment offers risk management, performance attribution and portfolio management content, applications, and services. The ESG and Climate segment includes providing data, ratings, research, and tools to help investors navigate increasing regulation, meet new client demands and better integrate ESG and climate elements into their investment processes. The All Other-Private Assets segment refers to the business intelligence products to real estate owners, managers, developers, and brokers. The company was founded by Andrew Thomas Rudd in 1998 and is headquartered in New York, NY.",listed,808095793,7374,SIC,Computer Processing and Data Preparation and Processing Services,New York,New York,10007
SLUMB,SLB,"Schlumberger NV engages in the provision of technology for reservoir characterization, drilling, production, and processing to the oil and gas industry. It operates through the following business segments: Digital and Integration, Reservoir Performance, Well Construction, and Production Systems. The Digital and Integration segment combines the company’s digital solutions and data products with its Asset Performance Solutions (APS). The Reservoir Performance segment consists of reservoir-centric technologies and services that are critical to optimizing reservoir productivity and performance. The Well Construction segment includes the full portfolio of products and services to optimize well placement and performance, maximize drilling efficiency, and improve wellbore assurance. The Production Systems segment develops technologies and provides expertise that enhance production and recovery from subsurface reservoirs to the surface, into pipelines, and to refineries. The company was founded by Conrad Schlumberger and Marcel Schlumberger in 1926 and is headquartered in Houston, TX.",listed,855445516,1381,SIC,Drilling Oil and Gas Wells,Houston,Texas,77056
BLAMAN,"BlackRock, Inc.","BlackRock, Inc. provides investment management, risk management, and advisory services for institutional and retail clients worldwide. Its products include single and multi-asset class portfolios investing in equities, fixed income, alternatives, and money market instruments. The company was founded by Susan L. Wagner, Robert Steven Kapito and Laurence Douglas Fink in 1988 and is headquartered in New York, NY.",listed,786987052,6282,SIC,Investment Advice,New York,New York,10001
PMLIFE,"Principal Financial Group, Inc.","Principal Financial Group, Inc. engages in the investment management offering business. It offers financial products and services to businesses, individuals, and institutional clients. It operates its business through the following segments: Retirement and Income Solutions, Principal Asset Management and Benefits and Protection. The Retirement and Income Solutions Segment offers a comprehensive portfolio of products and services for retirement savings along with select products for retirement income. The Principal Asset Management segment provides global investment solutions to institutional, retirement, retail and high net worth investors in the U.S. and select emerging markets. The Benefits and Protection segment includes selling individual life insurance products. The company was founded by Edward A. Temple in 1879 and is headquartered in Des Moines, IA.",listed,791312069,6371,SIC,"Pension, Health, and Welfare Funds",Des Moines,Iowa,50392
MCORMK,"McCormick & Co., Inc.","McCormick & Co., Inc. engages in the manufacturing, marketing, and distribution of spices, seasoning mixes, condiments, and other flavorful products to retail outlets, food manufacturers, and foodservice businesses. It operates through the Consumer and Flavor Solutions segments. The Consumer segment sells spices, seasonings, condiments, and sauces. The Flavor Solutions segment includes seasoning blends, spices and herbs, condiments, coating systems, and compound flavors. The company was founded by Willoughby M. McCormick in 1889 and is headquartered in Baltimore, MD.",listed,043614130,2087,SIC,Flavoring Extracts and Flavoring Syrups NEC,Baltimore,Maryland,21031
EDLFSC,Edwards Lifesciences Corp.,"Edwards Lifesciences Corp. engages in patient-focused medical innovations for heart disease and critical care monitoring. Its products are categorized into four main areas: Transcatheter Aortic Valve Replacement, Transcatheter Mitral and Tricuspid Therapies, Surgical Structural Heart, and Critical Care. It operates through the following geographical segments: United States, Europe, Japan, and Rest of World. The company was founded by Miles Lowell Edwards in 1958 and is headquartered in Irvine, CA.",listed,131674371,3842,SIC,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",Irvine,California,92614
ADOSY,"Adobe, Inc.","Adobe, Inc. engages in the provision of digital marketing and media solutions. It operates through the following segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers creative cloud services, which allow members to download and install the latest versions of products, such as Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Adobe Photoshop Lightroom and Adobe InDesign, as well as utilize other tools, such as Adobe Acrobat. The Digital Experience segment provides solutions, including analytics, social marketing, targeting, media optimization, digital experience management, and cross-channel campaign management, as well as premium video delivery and monetization. The Publishing and Advertising segment includes legacy products and services for eLearning solutions, technical document publishing, web application development, and high-end printing. The company was founded by Charles M. Geschke and John E. Warnock in December 1982 and is headquartered in San Jose, CA.",listed,102096559,7372,SIC,Prepackaged Software,San Jose,California,95110
HENJAK,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc. is a financial technology company, which engages in the provision of technology solutions and payment processing services. It operates through the following segments: Core, Payments, Complementary, and Corporate and Other. The Core segment provides core information processing platforms to banks and credit unions which consist of integrated applications required to process deposit, loan, and general ledger transactions, and maintain centralized customer and member information. The Payments segment includes secure payment processing tools and services including ATM, debit, and credit card processing services, online and mobile bill pay solutions, ACH origination and remote deposit capture processing, and risk management products and services. The Complementary segment focuses on additional software, hosted processing platforms, and services including call center support, network security management, consulting, and monitoring. The Corporate and Other segment offers hardware and other products. The company was founded by Jerry D. Hall and John W. Henry in 1976 and is headquartered in Monett, MO.",listed,098265341,7372,SIC,Prepackaged Software,Monett,Missouri,65708
KNNG,"Kinder Morgan, Inc.","Kinder Morgan, Inc. engages in providing pipeline transportation of natural gas services. It operates through the following business segments: Natural Gas Pipelines, Products Pipelines, Terminals, and CO2. The Natural Gas Pipelines segment operates major interstate and intrastate natural gas pipelines and storage systems. The Products Pipelines segment is involved in the operation of refined petroleum products, crude oil, and condensate pipelines. The Terminals segment includes operation of liquids and bulk terminal facilities that store and handle various commodities. The CO2 segment produces, transports, and markets to oil fields that use CO2 as a flooding medium to increase recovery and production of crude oil from mature oil fields. The company was founded by Richard D. Kinder and William V. Morgan in February 1997 and is headquartered in Houston, TX.",listed,006943500,4922,SIC,Natural Gas Transmission,Houston,Texas,77002
FMCUSA,FMC Corp.,"FMC Corp. is an agricultural sciences company, which engages in the provision of solutions to growers and development of pipeline in crop protection, plant health, precision agriculture, and professional pest, and turf management. It offers insect control products under the Rynaxypyr and Cyazypyr brands, herbicides under the Authority, Boral, Centium, Command, and Gamit brands, insecticides under the Talstar and Hero brands, flutriafol-based fungicides, and bionematicides under the Quartzo and Presence brands. The company was founded by John Bean in 1883 and is headquartered in Philadelphia, PA.",listed,009146945,2879,SIC,"Pesticides and Agricultural Chemicals, NEC",Philadelphia,Pennsylvania,19104
GEMEDS,"GE Healthcare Technologies, Inc.","GE Healthcare Technologies, Inc. operates as a holding company with interest in providing medical technology, pharmaceutical diagnostics and digital solutions. It operates through the following segments: Imaging, Ultrasound, Patient Care Solutions, and Pharmaceutical Diagnostics. The Imaging segment provides scanning devices, clinical applications, service capabilities and digital solutions. The Ultrasound segment offers screening, diagnosis, treatment and monitoring of certain diseases. The Patient Care Solutions segment specializes in providing medical devices, consumables, services and digital solutions. The Pharmaceutical Diagnostics segment supplies diagnostic agents to the global radiology and nuclear medicine community. The company was founded on May 16, 2022 and is headquartered in Chicago, IL.",listed,217152818,2835,SIC,In Vitro and In Vivo Diagnostic Substances,Chicago,Illinois,60661
AMBPTY,"Prologis, Inc.","Prologis, Inc. engages in providing logistics solutions and services. It operates in the Real Estate and Strategic Capital segments. The Real Estate segment represents the ownership and development of operating properties and is the largest component of revenue and earnings. The Strategic Capital segment refers to the management of co-investment ventures and other unconsolidated entities. The company was founded by Hamid R. Moghadam in 1991 and is headquartered in San Francisco, CA.",listed,112937446,6798,SIC,Real Estate Investment Trusts,San Francisco,California,94111
ITW,Illinois Tool Works Inc.,"Illinois Tool Works, Inc. engages in the manufacture of industrial products and equipment. It operates through the following segments: Automotive OEM, Test and Measurement and Electronics, Food Equipment, Polymers and Fluids, Welding, Construction Products, and Specialty Products. The Automotive OEM segment produces components and fasteners for automotive-related applications. The Test and Measurement and Electronics segment manufactures equipment, consumables, and related software for testing and measuring of materials, structures, gases and fluids. The Food Equipment segment supplies commercial food equipment and provides related services. The Polymers and Fluids segment provides adhesives, sealants, lubrication and cutting fluids, janitorial and hygiene products, and fluids and polymers for auto aftermarket maintenance and appearance. The Welding segment furnishes arc welding equipment, consumables and accessories for a wide array of industrial and commercial applications. The Construction Products segment makes construction fastening systems and truss products. The Specialty Products segment manufactures beverage packaging equipment and consumables, product coding and marking equipment and consumables, and appliance components and fasteners. The company was founded by Byron L. Smith in 1912 and is headquartered in Glenview, IL.",listed,005146428,3714,SIC,Motor Vehicle Parts and Accessories,Glenview,Illinois,60025
UAL,"United Airlines Holdings, Inc.","United Airlines Holdings, Inc. is a holding company, which engages in the provision of transportation services. It operates through the following geographical segments: Domestic, Atlantic, Pacific, and Latin America. The company was founded on December 30, 1968 and is headquartered in Chicago, IL.",listed,048342034,4512,SIC,"Air Transportation, Scheduled",Chicago,Illinois,60606
MVILLE,CVS Health Corp.,"CVS Health Corp. is a health solutions company, which engages in the provision of healthcare services. It operates through the following segments: Health Care Benefits, Health Services, Pharmacy and Consumer Wellness, and Corporate and Other. The Health Care Benefits segment operates as a health care benefits provider. The Health Services segment offers a full range of PBM solutions, delivers health care services in its medical clinics, virtually, and in the home. The Pharmacy & Consumer Wellness segment dispenses prescriptions in its retail pharmacies and through its infusion operations. The Corporate and Other Segment is involved in management and administrative expenses. The company was founded by Stanley P. Goldstein and Ralph Hoagland in 1963 and is headquartered in Woonsocket, RI.",listed,001338912,5912,SIC,Drug Stores and Proprietary Stores,Woonsocket,Rhode Island,02895
APLMAT,"Applied Materials, Inc.","Applied Materials, Inc. provides manufacturing equipment, services and software to the semiconductor, display and related industries. It operates through the following segments: Semiconductor Systems, Applied Global Services, and Display & Adjacent Markets. The Semiconductor Systems segment includes semiconductor capital equipment for etch, rapid thermal processing, deposition, chemical mechanical planarization, metrology and inspection, wafer packaging, and ion implantation. The Applied Global Services segment provides solutions to optimize equipment, performance, and productivity. The Display & Adjacent Markets segment offers products for manufacturing liquid crystal displays, organic light-emitting diodes, equipment upgrades, and other display technologies for TVs, monitors, laptops, personal computers, smart phones, and other consumer-oriented devices. The company was founded on November 10, 1967 and is headquartered in Santa Clara, CA.",listed,042728840,3559,SIC,"Special  Industry Machinery, NEC",Santa Clara,California,95054
HORMG,Hormel Foods Corp.,"Hormel Foods Corp. engages in the manufacturing and marketing of branded food products. It operates through the following segments: Retail, Foodservice, and International. The Retail segment consists of the processing, marketing, and sale of food products sold predominantly in the retail market. The Foodservice segment includes the processing, marketing, and sale of food and nutritional products for foodservice, convenience store, and commercial customers. The International segment focuses on processing, marketing, and selling company products internationally. The company was founded by George A. Hormel in 1891 and is headquartered in Austin, MN.",listed,006147383,2011,SIC,Meat Packing Plants,Austin,Minnesota,55912
COMBZZ,"Etsy, Inc.","Etsy, Inc. engages in the operation of an online marketplace. It offers handmade products such as shoes, clothing, bags, and accessories. It operates through the following segments: Etsy, Reverb, Depop, and Elo7. The company was founded in 2005 and is headquartered in New York, NY.",listed,789689416,5311,SIC,Department Stores,New York,New York,11201
DEERE,Deere & Co.,"Deere & Co. engages in the manufacture and distribution of equipment used in agriculture, construction, forestry, and turf care. It operates through the following segments: Agriculture and Turf, Construction and Forestry, and Financial Services. The Agriculture and Turf segment focuses on the distribution and manufacture of a full line of agriculture and turf equipment and related service parts. The Construction and Forestry segment offers machines and service parts used in construction, earthmoving, road building, material handling and timber harvesting. The Financial Services segment finances sales and leases by John Deere dealers of new and used agriculture and turf equipment and construction and forestry equipment. The company was founded by John Deere in 1837 and is headquartered in Moline, IL.",listed,005267471,3523,SIC,Farm Machinery and Equipment,Moline,Illinois,61265
BLDFST,"Builders FirstSource, Inc.","Builders FirstSource, Inc. engages in the supply and manufacture of building materials, manufactured components and construction services to professional homebuilders, subcontractors, remodelers and consumers. Its products include factory-built roof and floor trusses, wall panels and stairs, vinyl windows, custom millwork and trim, and engineered wood. The company was founded by Kevin P. O'Meara, Donald F. McAleenan and John D. Roach in March 1998 and is headquartered in Irving, TX.",listed,179982137,5211,SIC,Lumber and Other Building Materials Dealers,Irving,Texas,75039
TYLR,"Tyler Technologies, Inc.","Tyler Technologies, Inc. engages in the provision of integrated technology and management solutions and services for the public sector with a focus on local governments. It operates through the following segments: Enterprise Software and Platform Technologies. The Enterprise Software segment provides public sector entities with software systems to meet their information technology and automation needs for mission-critical back-office functions such as financial management, courts and justice processes. The Platform Technologies (PT) segment provides public sector entities with software solutions to platform and transformative solutions including digital solutions, payment processing, streamline data processing, and improve operations and workflows. The company was founded in 1966 and is headquartered in Plano, TX.",listed,041089293,7372,SIC,Prepackaged Software,Plano,Texas,75024
NVHOME,"NVR, Inc.","NVR, Inc. engages in the construction and sale of single-family detached homes, townhomes, and condominium buildings. It operates through the following geographical segments: Mid Atlantic, North East, Mid East, and South East. The Mid Atlantic segment includes Maryland, Virginia, West Virginia, Delaware, and Washington, D.C. The North East segment focuses on New Jersey and Eastern Pennsylvania. The Mid East segment refers to New York, Ohio, Western Pennsylvania, Indiana, and Illinois. The South East segment consists of North Carolina, South Carolina, Tennessee, Florida, and Georgia. The company was founded in 1980 and is headquartered in Reston, VA.",listed,808394621,1521,SIC,General Contractors-Single-Family Houses,Reston,Virginia,20190
CMBNDI,Aon Plc,"Aon Plc engages in the provision of risk, health, and wealth solutions. It focuses on risk capital including claim management, reinsurance, risk analysis, management, retention, and transfer; and human capital involving analytics, health and benefits, investments, pensions and retirement, talent and rewards, and workplace wellbeing. The company was founded in 1982 and is headquartered in Dublin, Ireland.",listed,985689990,6411,SIC,"Insurance Agents, Brokers, and Service",Dublin,Dublin,1
ASRANT,"Assurant, Inc.","Assurant, Inc. engages in the provision of lifestyle and housing solutions for consumer purchases. It operates through the following segments: Global Lifestyle, Global Housing, and Corporate and Other. The Global Lifestyle segment offers mobile device solutions and extended service products and related services for mobile devices, consumer electronics and appliances, vehicle protection, and related services. The Global Housing segment includes lender-placed homeowners’ insurance, lender-placed manufactured housing insurance, lender-placed flood insurance, renters' insurance, and related products, voluntary manufactured housing insurance, voluntary homeowners’ insurance and other specialty products. The Corporate and Other segment refers to the corporate employee-related expenses and activities of the holding company. The company was founded in 1892 and is headquartered in Atlanta, GA.",listed,052908241,6399,SIC,"Insurance Carriers, NEC",Atlanta,Georgia,30339
